SEASON_1,PLAYER_ID,HOME_TEAM,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT,TIME_REMAINING
2021,203901,False,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,Less Than 8 ft.,0.2,6.085,3,2,2,43,1603
2021,203944,False,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,Less Than 8 ft.,-0.29,6.155,4,2,3,30,1650
2021,203901,False,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,Less Than 8 ft.,-0.02,6.185,4,2,3,36,1656
2021,203901,False,False,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,8-16 ft.,0.14,6.575,8,2,3,40,1660
2021,1629628,False,False,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,Less Than 8 ft.,-0.42,6.015,4,2,4,15,1695
2021,201565,False,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side,8-16 ft.,0.61,6.355,8,2,5,20,1760
2021,203457,False,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,Less Than 8 ft.,-0.11,5.855,1,2,5,46,1786
2021,1630193,False,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,Less Than 8 ft.,-0.7,5.995,7,2,6,39,1839
2021,1630167,False,True,Running Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center,Less Than 8 ft.,0.3,5.935,3,2,7,11,1871
2021,202692,False,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,24+ ft.,2.32,6.155,23,2,7,35,1895
2021,201565,False,True,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,8-16 ft.,0.45,6.765000000000001,10,2,8,27,1947
2021,1630193,False,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,24+ ft.,1.5699999999999998,8.065,27,2,9,38,2018
2021,202692,False,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,24+ ft.,-0.8400000000000001,8.245000000000001,26,2,10,2,2042
2021,1630167,False,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,24+ ft.,2.34,5.715,23,2,10,7,2047
2021,1630193,False,True,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,8-16 ft.,0.55,6.865,12,2,10,38,2078
2021,201959,False,False,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Right Side,8-16 ft.,0.63,6.725,11,2,11,23,2123
2021,201565,False,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,24+ ft.,0.36,8.335,25,1,0,1,2161
2021,203944,False,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,8-16 ft.,-0.23,7.065,13,1,0,31,2191
2021,202692,False,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,24+ ft.,1.42,8.025,26,1,1,39,2259
2021,201565,False,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,Less Than 8 ft.,0.45,6.245,6,1,1,54,2274
2021,203944,False,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,Less Than 8 ft.,0.11,6.035,2,1,2,24,2304
